feature,mean_abs_shap
TC_DANGKY_current,3.087616643411835
CPA_last,0.8691268111474494
TC_GPA_interaction,0.7271712996840121
TC_HT_ratio_mean,0.5390093073675009
TC_load_ratio,0.5057580188986673
NAM_TUYENSINH,0.4110678201220359
TC_HT_last,0.2802934651233724
consecutive_fails,0.26891305421021394
TC_change,0.2683338645191076
num_semesters,0.18887740767445035
DIEM_TRUNGTUYEN,0.17806416583573997
fail_rate,0.173331541100767
PTXT_TE,0.14270268948418166
DIEM_CHUAN,0.1328114432872609
TC_DANGKY_last,0.09964676318013142
TOHOP_TE,0.09267431398810416
GPA_std,0.08534972555107816
GPA_trend,0.07647534568228533
DIEM_LECH,0.05077958029672551
KY_SO,0.03505098555653094
num_failed_semesters,0.02560996046967992
overload_risk,0.023331258587348466
is_increasing_load,0.008055170008683644
